h,"0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8","1,9",2,"2,1","2,2","2,3","2,4","2,5","2,6","2,7","2,8"
1,"$53,09","$59,53","$65,97","$72,32","$78,75","$85,19","$91,54","$97,98","$104,42","$110,77","$117,21","$123,56","$129,74","$136,22","$143,04","$150,19","$157,70","$164,01","$170,57","$177,39","$184,48","$191,86","$199,54","$207,52"
"1,2","$59,79","$67,21","$74,52","$81,94","$89,25","$96,57","$103,97","$111,29","$118,70","$126,03","$133,35","$140,75","$147,78","$155,17","$162,93","$171,08","$179,63","$186,82","$194,29","$202,06","$210,14","$218,55","$227,29","$236,38"
"1,4","$66,59","$74,87","$86,49","$93,28","$101,75","$110,19","$118,65","$124,61","$138,30","$146,94","$155,55","$164,18","$172,39","$181,01","$190,06","$199,56","$209,54","$217,92","$226,64","$235,71","$245,13","$254,94","$265,14","$275,74"
"1,6","$73,30","$82,46","$93,55","$105,02","$112,45","$124,27","$131,33","$138,02","$153,18","$162,72","$174,00","$183,72","$192,91","$202,55","$212,68","$223,32","$234,48","$243,86","$253,61","$263,76","$274,31","$285,28","$296,69","$308,56"
"1,8","$79,98","$90,13","$102,38","$112,81","$123,14","$133,59","$143,94","$151,33","$168,03","$178,58","$189,22","$199,85","$209,84","$220,34","$231,35","$242,92","$255,07","$265,27","$275,88","$286,92","$298,39","$310,33","$322,74","$335,65"
2,"$86,69","$97,82","$109,01","$120,11","$131,23","$142,42","$153,55","$164,65","$182,89","$194,44","$206,00","$217,65","$228,53","$239,96","$251,96","$264,56","$277,78","$288,89","$300,45","$312,47","$324,97","$337,97","$351,48","$365,54"
"2,2","$93,40","$105,48","$117,55","$129,64","$141,73","$153,81","$165,98","$178,05","$193,94","$206,27","$218,59","$230,91","$242,45","$254,57","$267,30","$280,67","$294,70","$306,49","$318,75","$331,50","$344,76","$358,55","$372,89","$387,81"
"2,4","$100,09","$113,15","$126,19","$139,24","$155,26","$171,88","$181,89","$191,38","$204,42","$217,46","$230,44","$243,50","$255,68","$268,46","$281,89","$295,98","$310,78","$323,21","$336,14","$349,59","$363,57","$378,11","$393,24","$408,97"
"2,6","$106,80","$120,83","$134,75","$148,78","$165,96","$180,27","$194,58","$204,70","$218,72","$232,65","$246,67","$260,68","$273,72","$287,40","$301,77","$316,86","$332,70","$346,01","$359,85","$374,25","$389,22","$404,78","$420,98","$437,81"
"2,8","$113,50","$128,41","$143,40","$158,31","$176,67","$191,96","$207,18","$218,01","$233,00","$247,91","$262,80","$277,80","$291,69","$306,28","$321,59","$337,67","$354,56","$368,74","$383,49","$398,83","$414,78","$431,37","$448,63","$466,57"
3,"$120,20","$136,07","$151,96","$167,82","$187,46","$207,66","$219,85","$231,42","$247,29","$263,16","$279,04","$294,90","$309,64","$325,12","$341,38","$358,45","$376,37","$391,43","$407,08","$423,37","$440,30","$457,91","$476,23","$495,28"
