h,"0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8"
"0,5","$12,20","$13,71","$15,22","$16,74","$18,26","$19,76","$21,28","$22,79","$24,31","$25,82","$27,32","$28,84","$30,08","$31,38","$32,73"
"0,6","$12,82","$14,34","$15,84","$17,36","$18,86","$20,40","$21,89","$23,42","$24,92","$26,44","$27,94","$29,47","$30,73","$32,06","$33,43"
"0,7","$13,44","$14,95","$16,47","$17,97","$19,49","$21,01","$22,52","$24,03","$25,55","$27,05","$28,58","$30,08","$31,38","$32,73","$34,13"
"0,8","$14,07","$15,58","$17,09","$18,60","$20,12","$21,63","$23,14","$24,66","$26,16","$27,68","$29,18","$30,71","$32,03","$33,40","$34,84"
"0,9","$14,69","$16,20","$17,73","$19,23","$20,74","$22,26","$23,77","$25,28","$26,78","$28,30","$29,81","$31,32","$32,67","$34,07","$35,54"
1,"$15,30","$16,83","$18,33","$19,86","$21,35","$22,88","$24,39","$25,91","$27,41","$28,93","$30,43","$31,96","$33,33","$34,76","$36,26"
"1,1","$16,26","$18,15","$19,70","$20,88","$22,43","$23,97","$25,01","$26,52","$28,04","$29,55","$31,07","$32,56","$33,96","$35,42","$36,95"
"1,2","$17,21","$18,97","$20,55","$21,93","$23,51","$24,59","$25,63","$27,14","$28,65","$30,18","$31,67","$33,19","$34,61","$36,10","$37,65"
"1,3","$18,04","$19,62","$21,21","$22,81","$24,15","$25,23","$26,25","$27,77","$29,28","$30,77","$32,30","$33,82","$35,27","$36,79","$38,37"
"1,4","$18,51","$20,28","$21,87","$23,45","$24,80","$26,37","$26,87","$28,39","$29,89","$31,40","$32,92","$34,43","$35,91","$37,45","$39,06"
"1,5","$18,79","$20,73","$22,52","$23,88","$25,44","$26,50","$27,50","$29,02","$30,51","$32,02","$33,54","$35,05","$36,56","$38,13","$39,77"
"1,6","$19,43","$21,38","$22,94","$24,52","$25,58","$27,14","$28,12","$29,62","$31,14","$32,64","$34,17","$35,67","$37,21","$38,81","$40,48"
"1,7","$20,07","$21,59","$23,14","$24,68","$26,23","$27,77","$28,74","$30,25","$31,75","$33,28","$34,79","$36,29","$37,85","$39,48","$41,17"
"1,8","$20,71","$22,24","$23,78","$25,33","$26,87","$28,39","$29,35","$30,86","$32,39","$33,89","$35,40","$36,91","$38,50","$40,16","$41,88"
"1,9","$21,33","$22,91","$24,49","$26,09","$27,68","$29,25","$30,23","$31,79","$33,36","$34,91","$36,46","$38,02","$39,66","$41,36","$43,14"
2,"$21,97","$23,60","$25,22","$26,87","$28,51","$30,12","$31,14","$32,74","$34,36","$35,96","$37,55","$39,16","$40,84","$42,60","$44,43"
"2,1","$22,63","$24,31","$25,98","$27,68","$29,36","$31,03","$32,07","$33,73","$35,39","$37,04","$38,68","$40,34","$42,07","$43,88","$45,77"
"2,2","$23,31","$25,03","$26,76","$28,51","$30,24","$31,96","$33,03","$34,74","$36,45","$38,15","$39,84","$41,55","$43,33","$45,20","$47,14"
"2,3","$24,01","$25,79","$27,56","$29,36","$31,15","$32,92","$34,02","$35,78","$37,55","$39,29","$41,04","$42,79","$44,63","$46,55","$48,55"
"2,4","$24,73","$26,56","$28,39","$30,24","$32,08","$33,90","$35,04","$36,85","$38,67","$40,47","$42,27","$44,08","$45,97","$47,95","$50,01"
