h,"0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8"
"0,5","$21,68","$24,27","$26,88","$29,49","$32,09","$34,70","$37,31","$39,89","$42,50","$45,11","$47,71","$50,33","$52,85","$55,49","$58,26"
"0,6","$23,01","$25,62","$28,22","$30,83","$33,44","$36,04","$38,64","$41,23","$43,85","$46,46","$49,05","$51,66","$54,24","$56,96","$59,80"
"0,7","$24,35","$26,97","$29,57","$32,17","$34,77","$37,38","$39,98","$42,59","$45,20","$47,80","$50,40","$53,01","$55,66","$58,44","$61,37"
"0,8","$25,70","$28,31","$30,92","$33,51","$36,13","$38,73","$41,34","$43,93","$46,54","$49,15","$51,76","$54,36","$57,08","$59,93","$62,93"
"0,9","$27,05","$29,66","$32,27","$34,86","$37,48","$40,08","$42,68","$45,28","$47,89","$50,49","$53,10","$55,69","$58,47","$61,40","$64,47"
1,"$28,40","$31,01","$33,61","$36,22","$38,81","$41,43","$44,01","$46,63","$49,23","$51,83","$54,43","$57,05","$59,90","$62,90","$66,04"
"1,1","$30,34","$33,65","$36,35","$38,31","$40,97","$43,63","$46,27","$47,97","$50,58","$53,17","$55,79","$58,39","$61,31","$64,37","$67,59"
"1,2","$32,33","$35,39","$38,11","$40,46","$43,16","$45,00","$47,64","$49,31","$51,93","$54,52","$57,13","$59,74","$62,73","$65,86","$69,16"
"1,3","$34,06","$36,79","$39,53","$42,27","$44,57","$47,27","$49,98","$50,66","$53,27","$55,88","$58,47","$61,06","$64,11","$67,32","$70,68"
"1,4","$35,47","$38,22","$40,94","$43,67","$45,96","$48,67","$50,88","$52,00","$54,61","$57,21","$59,82","$62,42","$65,54","$68,82","$72,26"
"1,5","$36,18","$39,24","$42,35","$44,67","$47,37","$49,59","$51,76","$53,35","$55,96","$58,57","$61,17","$63,77","$66,96","$70,31","$73,82"
"1,6","$37,20","$40,64","$43,35","$46,06","$48,77","$50,47","$53,13","$54,71","$57,30","$59,92","$62,52","$65,10","$68,36","$71,77","$75,36"
"1,7","$38,58","$41,63","$44,33","$47,01","$49,67","$51,85","$54,51","$56,05","$58,64","$61,25","$63,86","$66,45","$69,77","$73,26","$76,92"
"1,8","$39,96","$42,60","$45,27","$47,91","$50,57","$53,24","$55,89","$57,39","$59,99","$62,59","$65,20","$67,79","$71,18","$74,74","$78,48"
"1,9","$41,36","$44,09","$46,85","$49,59","$52,34","$55,10","$57,85","$59,40","$62,09","$64,78","$67,48","$70,16","$73,67","$77,35","$81,22"
2,"$42,81","$45,63","$48,49","$51,32","$54,17","$57,03","$59,87","$61,48","$64,26","$67,05","$69,84","$72,62","$76,25","$80,06","$84,06"
"2,1","$44,30","$47,23","$50,19","$53,12","$56,07","$59,03","$61,97","$63,63","$66,51","$69,39","$72,29","$75,16","$78,92","$82,86","$87,01"
"2,2","$45,86","$48,88","$51,95","$54,98","$58,03","$61,09","$64,14","$65,86","$68,84","$71,82","$74,82","$77,79","$81,68","$85,76","$90,05"
"2,3","$47,46","$50,60","$53,77","$56,90","$60,06","$63,23","$66,38","$68,16","$71,25","$74,34","$77,44","$80,51","$84,54","$88,77","$93,20"
"2,4","$49,12","$52,37","$55,65","$58,89","$62,16","$65,45","$68,70","$70,55","$73,74","$76,94","$80,15","$83,33","$87,50","$91,87","$96,47"
